timestamps population node_ids
1040.0 v1 2
331.0 v1 157874
311.25 v1 157874
196.75 v1 157874
1347.25 v1 157873
1124.75 v1 157873
427.75 v1 157873
400.75 v1 157873
247.25 v1 157873
1303.25 v1 157871
1096.25 v1 157871
977.0 v1 157871
400.5 v1 157871
138.5 v1 157871
481.0 v1 157874
1165.0 v1 157870
926.5 v1 157870
508.5 v1 157870
843.75 v1 157869
159.25 v1 157869
866.5 v1 157865
805.5 v1 157865
487.5 v1 157865
286.5 v1 157865
71.25 v1 157865
498.0 v1 157864
1361.75 v1 157863
1228.0 v1 157863
1111.5 v1 157863
1042.75 v1 157870
582.75 v1 157874
738.75 v1 157874
801.5 v1 157874
1190.25 v1 157880
1123.75 v1 157880
1057.0 v1 157880
851.25 v1 157880
822.0 v1 157880
751.75 v1 157880
738.0 v1 157880
654.5 v1 157880
465.75 v1 157880
359.5 v1 157880
56.25 v1 157880
660.75 v1 157879
29.25 v1 157879
875.0 v1 157878
23.25 v1 157878
1247.0 v1 157876
1125.25 v1 157876
976.25 v1 157876
387.25 v1 157876
323.75 v1 157876
246.0 v1 157876
160.75 v1 157876
93.0 v1 157876
868.75 v1 157875
564.0 v1 157875
218.75 v1 157875
1239.25 v1 157874
1140.75 v1 157874
979.75 v1 157874
1041.25 v1 157863
643.0 v1 157863
560.5 v1 157863
369.75 v1 157863
91.5 v1 157838
1086.75 v1 157837
168.75 v1 157837
1121.75 v1 157836
264.25 v1 157836
1217.25 v1 157835
785.75 v1 157835
326.5 v1 157835
836.5 v1 157833
365.0 v1 157831
977.25 v1 157830
547.5 v1 157830
410.5 v1 157830
201.5 v1 157830
115.25 v1 157830
1255.5 v1 157829
957.0 v1 157829
1341.25 v1 157825
1240.25 v1 157825
802.75 v1 157825
704.75 v1 157825
500.25 v1 157825
118.25 v1 157825
1340.5 v1 157820
1211.5 v1 157820
830.25 v1 157820
660.0 v1 157820
369.0 v1 157820
255.0 v1 157820
590.0 v1 157838
1267.75 v1 157880
872.0 v1 157838
1195.75 v1 157838
247.0 v1 157863
30.0 v1 157862
1065.75 v1 157856
730.0 v1 157856
1081.5 v1 157855
939.0 v1 157855
385.75 v1 157855
266.25 v1 157855
1388.25 v1 157854
1277.75 v1 157854
977.0 v1 157854
307.0 v1 157854
133.5 v1 157854
31.5 v1 157854
354.75 v1 157853
439.75 v1 157852
17.25 v1 157852
495.25 v1 157851
242.0 v1 157851
1206.0 v1 157847
1109.25 v1 157841
728.25 v1 157841
604.75 v1 157841
494.0 v1 157841
315.0 v1 157841
119.25 v1 157841
933.75 v1 157839
1332.25 v1 157838
1245.0 v1 157838
1082.0 v1 157838
38.5 v1 157881
76.5 v1 157881
164.75 v1 157881
460.25 v1 157923
302.0 v1 157923
166.25 v1 157923
1176.25 v1 157919
1167.25 v1 157917
837.25 v1 157917
827.0 v1 157916
1078.25 v1 157915
882.0 v1 157915
540.25 v1 157915
263.75 v1 157915
58.5 v1 157915
32.75 v1 157913
246.75 v1 157911
147.0 v1 157911
1167.5 v1 157906
1029.5 v1 157906
650.25 v1 157906
306.0 v1 157906
237.75 v1 157906
34.25 v1 157906
1384.5 v1 157905
1327.75 v1 157905
1235.0 v1 157905
991.0 v1 157905
780.5 v1 157905
393.25 v1 157905
1247.25 v1 157900
1202.25 v1 157900
669.75 v1 157923
979.75 v1 157900
739.0 v1 157923
585.5 v1 157924
937.0 v1 157955
914.75 v1 157955
435.0 v1 157955
1348.0 v1 157949
1238.5 v1 157949
953.0 v1 157949
699.75 v1 157949
345.25 v1 157949
248.0 v1 157949
43.0 v1 157949
309.0 v1 157942
955.75 v1 157941
143.5 v1 157941
963.0 v1 157939
380.0 v1 157939
1190.0 v1 157938
1001.25 v1 157938
721.75 v1 157938
500.0 v1 157938
717.5 v1 157937
381.5 v1 157937
1341.0 v1 157935
927.0 v1 157935
1367.5 v1 157930
962.75 v1 157929
808.0 v1 157929
1079.0 v1 157928
962.5 v1 157928
1100.0 v1 157927
1318.25 v1 157923
1272.0 v1 157819
316.25 v1 157900
54.75 v1 157900
834.5 v1 157886
732.75 v1 157886
573.25 v1 157886
220.25 v1 157886
164.0 v1 157886
39.25 v1 157886
929.25 v1 157884
660.75 v1 157884
466.0 v1 157884
1215.5 v1 157883
919.25 v1 157883
826.25 v1 157883
160.25 v1 157883
1286.25 v1 157882
1178.25 v1 157882
1046.5 v1 157882
872.0 v1 157882
471.25 v1 157882
328.75 v1 157882
50.25 v1 157882
1365.0 v1 157881
1031.0 v1 157881
931.75 v1 157881
805.25 v1 157881
727.0 v1 157881
583.25 v1 157881
440.5 v1 157881
257.25 v1 157881
209.5 v1 157881
1101.0 v1 157886
128.0 v1 157900
359.5 v1 157888
246.75 v1 157889
1265.0 v1 157899
1208.0 v1 157899
369.5 v1 157899
130.0 v1 157899
1302.75 v1 157895
683.25 v1 157895
306.25 v1 157895
210.5 v1 157895
1045.25 v1 157894
789.5 v1 157894
433.0 v1 157894
358.75 v1 157894
873.5 v1 157893
707.75 v1 157893
380.75 v1 157893
312.75 v1 157893
1289.5 v1 157892
1010.75 v1 157892
866.0 v1 157892
729.0 v1 157892
384.25 v1 157892
341.25 v1 157892
222.25 v1 157892
1363.25 v1 157891
740.75 v1 157891
52.75 v1 157891
407.25 v1 157890
153.5 v1 157890
468.0 v1 157889
1235.5 v1 157888
1055.25 v1 157955
970.25 v1 157819
468.5 v1 157819
1203.75 v1 157739
822.25 v1 157739
593.75 v1 157739
418.75 v1 157739
167.75 v1 157739
89.25 v1 157739
