timestamps population node_ids
65.0 v1 19
1086.25 v1 158302
117.0 v1 158302
874.25 v1 158301
728.5 v1 158301
552.25 v1 158301
73.0 v1 158301
1077.75 v1 158295
439.5 v1 158295
1282.5 v1 158294
1006.0 v1 158294
751.0 v1 158294
499.0 v1 158294
446.0 v1 158294
241.75 v1 158294
57.0 v1 158294
726.0 v1 158292
26.75 v1 158292
403.5 v1 158283
699.5 v1 158283
20.5 v1 158284
80.75 v1 158284
162.0 v1 158284
244.0 v1 158284
33.0 v1 158304
870.25 v1 158284
1149.75 v1 158284
1263.75 v1 158284
1364.75 v1 158287
666.5 v1 158291
944.75 v1 158291
1189.5 v1 158291
1043.5 v1 158284
164.0 v1 158283
129.25 v1 158304
1163.75 v1 158304
90.0 v1 158326
1373.5 v1 158325
24.5 v1 158325
1147.75 v1 158322
998.5 v1 158322
913.5 v1 158322
650.25 v1 158322
611.5 v1 158322
434.25 v1 158322
175.5 v1 158322
1307.5 v1 158320
1149.0 v1 158320
1107.5 v1 158320
671.75 v1 158320
578.75 v1 158320
411.0 v1 158320
206.0 v1 158320
1383.0 v1 158304
551.5 v1 158307
769.75 v1 158307
884.75 v1 158307
1018.5 v1 158307
1368.0 v1 158307
733.0 v1 158304
70.75 v1 158309
1144.25 v1 158309
1251.25 v1 158309
219.5 v1 158311
654.0 v1 158311
966.0 v1 158311
290.75 v1 158314
789.25 v1 158309
799.25 v1 158326
1342.5 v1 158281
657.5 v1 158281
836.0 v1 158267
721.0 v1 158267
518.0 v1 158267
244.5 v1 158267
134.5 v1 158267
612.0 v1 158264
1393.0 v1 158263
742.5 v1 158263
545.0 v1 158263
259.0 v1 158263
1341.0 v1 158262
1187.75 v1 158262
830.5 v1 158262
605.0 v1 158262
168.25 v1 158262
1195.75 v1 158259
1049.0 v1 158259
74.25 v1 158256
215.0 v1 158256
311.5 v1 158256
599.0 v1 158256
1081.75 v1 158256
579.5 v1 158258
921.25 v1 158267
652.25 v1 158258
1152.25 v1 158258
1246.25 v1 158258
222.75 v1 158259
355.75 v1 158259
675.0 v1 158259
734.25 v1 158259
895.75 v1 158258
1269.75 v1 158281
1005.5 v1 158267
57.5 v1 158268
297.5 v1 158281
158.25 v1 158281
1177.0 v1 158280
962.25 v1 158280
730.5 v1 158280
412.75 v1 158280
656.0 v1 158279
1246.25 v1 158277
322.0 v1 158277
1171.25 v1 158276
66.0 v1 158276
1302.75 v1 158274
1194.75 v1 158274
1114.25 v1 158274
668.25 v1 158273
171.5 v1 158273
1207.25 v1 158272
313.25 v1 158268
525.25 v1 158268
791.25 v1 158268
1154.75 v1 158268
1363.25 v1 158268
74.75 v1 158269
1340.0 v1 158267
785.5 v1 158269
1115.0 v1 158269
198.75 v1 158272
342.0 v1 158272
654.5 v1 158272
828.75 v1 158272
960.0 v1 158272
1095.5 v1 158269
1235.0 v1 158252
472.75 v1 158330
17.25 v1 158331
1092.25 v1 158386
815.5 v1 158386
1287.0 v1 158384
1110.0 v1 158384
790.75 v1 158384
540.25 v1 158384
310.25 v1 158384
1060.5 v1 158383
458.0 v1 158383
89.75 v1 158383
45.75 v1 158383
1396.0 v1 158381
964.5 v1 158381
1341.0 v1 158377
908.25 v1 158377
1112.5 v1 158376
207.0 v1 158376
1352.25 v1 158370
393.0 v1 158371
817.5 v1 158371
1080.0 v1 158371
1184.25 v1 158371
70.25 v1 158372
1205.0 v1 158386
122.75 v1 158372
445.0 v1 158372
956.0 v1 158372
1043.25 v1 158372
1166.0 v1 158372
1206.0 v1 158372
1288.0 v1 158372
411.5 v1 158372
1205.75 v1 158370
1388.5 v1 158386
605.0 v1 158387
1008.0 v1 158400
311.0 v1 158400
1112.25 v1 158399
114.5 v1 158399
1324.25 v1 158397
1240.25 v1 158397
1170.5 v1 158397
1060.75 v1 158397
867.0 v1 158397
818.25 v1 158397
688.75 v1 158397
526.25 v1 158397
387.0 v1 158397
340.75 v1 158397
80.25 v1 158397
25.0 v1 158397
707.75 v1 158395
952.75 v1 158387
1160.75 v1 158387
1350.0 v1 158387
310.0 v1 158388
603.0 v1 158388
1084.0 v1 158388
63.75 v1 158387
308.5 v1 158389
311.5 v1 158391
1234.75 v1 158391
1394.25 v1 158391
62.0 v1 158395
309.75 v1 158395
418.5 v1 158395
987.0 v1 158389
870.5 v1 158330
1107.25 v1 158370
736.25 v1 158370
770.75 v1 158356
520.75 v1 158356
83.25 v1 158356
1254.25 v1 158352
997.25 v1 158352
272.5 v1 158352
72.25 v1 158352
1369.75 v1 158340
920.5 v1 158340
831.25 v1 158340
694.25 v1 158340
83.0 v1 158340
1266.5 v1 158339
1081.75 v1 158339
545.5 v1 158339
688.0 v1 158336
597.5 v1 158336
169.75 v1 158331
309.0 v1 158331
815.5 v1 158331
944.5 v1 158331
1327.0 v1 158331
80.25 v1 158332
1031.25 v1 158356
137.25 v1 158332
486.0 v1 158332
726.75 v1 158332
823.25 v1 158332
915.75 v1 158332
1231.25 v1 158332
74.25 v1 158333
408.75 v1 158332
959.0 v1 158370
1386.75 v1 158356
243.5 v1 158358
485.0 v1 158370
374.0 v1 158370
127.5 v1 158370
29.75 v1 158370
1238.0 v1 158366
1164.25 v1 158366
936.0 v1 158366
801.25 v1 158366
615.5 v1 158366
406.5 v1 158366
141.25 v1 158366
88.75 v1 158366
29.0 v1 158366
1365.75 v1 158362
647.75 v1 158362
374.25 v1 158362
130.0 v1 158362
1074.5 v1 158358
1216.0 v1 158358
938.25 v1 158359
1029.5 v1 158359
1347.0 v1 158359
127.5 v1 158361
127.25 v1 158358
550.25 v1 158361
805.75 v1 158361
886.0 v1 158361
945.75 v1 158361
1185.25 v1 158361
1243.25 v1 158361
1332.0 v1 158361
611.75 v1 158361
1209.75 v1 158252
1114.5 v1 158252
1050.25 v1 158252
82.25 v1 158152
46.0 v1 158152
1231.25 v1 158151
1042.25 v1 158151
960.75 v1 158151
873.5 v1 158151
830.0 v1 158151
244.5 v1 158151
158.75 v1 158151
1373.5 v1 158149
