timestamps,population,node_id,node_type_id,tuning_angle,x,y,z,pop_name
892.75,v1,152494,318733871,212.28376149,-283.96204723700004,-411.223828772,318.335047257,e4Nr5a1
641.0,v1,152494,318733871,212.28376149,-283.96204723700004,-411.223828772,318.335047257,e4Nr5a1
268.25,v1,152494,318733871,212.28376149,-283.96204723700004,-411.223828772,318.335047257,e4Nr5a1
407.75,v1,152388,318733871,203.290124912,147.377455167,-359.29654091300006,557.046976346,e4Nr5a1
926.25,v1,152328,318733871,198.199387226,659.266728058,-382.730889426,321.549233418,e4Nr5a1
921.75,v1,152322,318733871,197.690313457,665.970265065,-427.513737859,251.62705165,e4Nr5a1
421.0,v1,152310,318733871,196.67216592,-348.59012881900003,-417.897812736,-337.930448417,e4Nr5a1
1256.25,v1,152283,318733871,194.381333962,-560.577875606,-347.982684852,468.557362365,e4Nr5a1
1395.5,v1,152231,318733871,189.969361301,-676.433834575,-394.235189664,51.9423388253,e4Nr5a1
1063.25,v1,152231,318733871,189.969361301,-676.433834575,-394.235189664,51.9423388253,e4Nr5a1
279.75,v1,152231,318733871,189.969361301,-676.433834575,-394.235189664,51.9423388253,e4Nr5a1
1017.5,v1,152153,318733871,183.35140231,-17.6121222564,-380.964606404,791.7891521989999,e4Nr5a1
988.0,v1,152021,318733871,172.151779401,579.50857107,-420.803155514,-380.41797916400003,e4Nr5a1
905.25,v1,151905,318733871,162.309686543,-561.129750346,-393.722857631,355.79250366400004,e4Nr5a1
1114.0,v1,152494,318733871,212.28376149,-283.96204723700004,-411.223828772,318.335047257,e4Nr5a1
649.75,v1,151905,318733871,162.309686543,-561.129750346,-393.722857631,355.79250366400004,e4Nr5a1
1119.25,v1,151751,318733871,149.243459816,-580.146266639,-378.454225641,244.94199301700002,e4Nr5a1
479.75,v1,151751,318733871,149.243459816,-580.146266639,-378.454225641,244.94199301700002,e4Nr5a1
637.5,v1,151673,318733871,142.625500825,129.00953264700001,-374.12171257800003,653.0562351780001,e4Nr5a1
368.0,v1,151645,318733871,140.249823238,415.64913974,-416.003058235,642.562582069,e4Nr5a1
1366.75,v1,151599,318733871,136.346924346,-630.5193568230001,-354.798797028,520.105716544,e4Nr5a1
89.5,v1,151531,318733871,130.577421636,388.94350033,-415.71501130300004,-551.089739425,e4Nr5a1
648.0,v1,151400,318733871,119.462644355,87.7973462119,-420.645636458,545.808746357,e4Nr5a1
428.25,v1,151400,318733871,119.462644355,87.7973462119,-420.645636458,545.808746357,e4Nr5a1
655.0,v1,151393,318733871,118.86872495899999,-646.634432215,-427.523036934,232.73903535,e4Nr5a1
106.75,v1,151393,318733871,118.86872495899999,-646.634432215,-427.523036934,232.73903535,e4Nr5a1
1182.5,v1,151364,318733871,116.408201744,-605.4424770740001,-363.981053249,-430.61679700699995,e4Nr5a1
215.0,v1,151344,318733871,114.711289182,118.82803429399999,-429.45738568900003,823.8606999819999,e4Nr5a1
