timestamps population node_ids
1129.75 v1 0
301.25 v1 158082
192.0 v1 158082
650.0 v1 158081
604.0 v1 158081
379.5 v1 158081
250.5 v1 158081
49.0 v1 158081
400.75 v1 158080
725.75 v1 158078
407.75 v1 158078
314.25 v1 158078
1163.0 v1 158074
698.75 v1 158074
656.5 v1 158074
1122.5 v1 158082
492.5 v1 158074
1159.0 v1 158072
400.0 v1 158072
54.0 v1 158072
1249.5 v1 158071
1063.75 v1 158071
1014.25 v1 158071
886.25 v1 158071
656.5 v1 158071
458.25 v1 158071
1073.5 v1 158069
641.75 v1 158069
298.25 v1 158069
1051.25 v1 158068
416.0 v1 158068
293.5 v1 158074
15.75 v1 158068
1250.0 v1 158082
1049.5 v1 158084
304.25 v1 158095
87.25 v1 158095
1333.0 v1 158094
900.5 v1 158094
453.75 v1 158094
1086.5 v1 158091
970.75 v1 158091
651.25 v1 158091
394.25 v1 158091
706.25 v1 158090
238.75 v1 158090
1006.0 v1 158088
927.0 v1 158088
493.5 v1 158088
957.0 v1 158084
312.5 v1 158088
1353.5 v1 158086
1148.5 v1 158086
915.25 v1 158086
822.5 v1 158086
724.0 v1 158086
343.25 v1 158086
87.0 v1 158086
1336.5 v1 158085
1079.5 v1 158085
858.75 v1 158085
577.0 v1 158085
312.75 v1 158085
220.0 v1 158085
66.0 v1 158085
202.25 v1 158088
444.0 v1 158095
1196.75 v1 158065
891.5 v1 158065
574.25 v1 158041
471.25 v1 158041
287.75 v1 158041
557.75 v1 158038
1170.75 v1 158036
297.75 v1 158036
1351.25 v1 158034
420.0 v1 158034
256.75 v1 158034
430.5 v1 158033
307.0 v1 158033
39.75 v1 158033
886.5 v1 158031
723.75 v1 158031
757.25 v1 158041
157.0 v1 158031
226.25 v1 158030
90.25 v1 158030
1299.75 v1 158029
1161.5 v1 158029
600.0 v1 158029
459.5 v1 158029
392.75 v1 158029
321.5 v1 158029
98.75 v1 158029
1250.0 v1 158027
765.5 v1 158027
325.25 v1 158027
1355.5 v1 158026
1241.75 v1 158026
1260.5 v1 158030
1026.25 v1 158065
830.5 v1 158041
1309.75 v1 158041
739.5 v1 158065
485.5 v1 158065
74.5 v1 158065
1113.25 v1 158056
399.75 v1 158056
128.5 v1 158056
1332.0 v1 158055
826.5 v1 158054
806.5 v1 158054
26.25 v1 158054
1034.25 v1 158050
829.75 v1 158050
303.75 v1 158050
722.5 v1 158048
978.75 v1 158041
141.75 v1 158048
603.0 v1 158047
373.75 v1 158047
232.25 v1 158047
920.0 v1 158045
648.75 v1 158045
380.75 v1 158045
231.0 v1 158045
48.75 v1 158045
1232.0 v1 158044
781.75 v1 158044
317.75 v1 158044
1110.5 v1 158043
933.5 v1 158043
296.75 v1 158043
802.0 v1 158047
870.5 v1 158095
957.5 v1 158095
1332.0 v1 158095
372.75 v1 158149
1342.0 v1 158147
988.0 v1 158147
884.5 v1 158147
792.5 v1 158147
363.5 v1 158147
1344.5 v1 158146
514.0 v1 158146
327.0 v1 158146
190.5 v1 158146
1043.0 v1 158145
212.0 v1 158145
1397.5 v1 158144
1337.0 v1 158144
500.25 v1 158149
1237.75 v1 158144
395.0 v1 158144
285.25 v1 158144
