timestamps population node_ids
398.0 v1 0
930.25 v1 158130
921.25 v1 158129
529.0 v1 158129
414.5 v1 158129
361.0 v1 158129
263.5 v1 158129
90.5 v1 158129
1310.0 v1 158126
872.25 v1 158126
198.0 v1 158126
28.0 v1 158126
1360.75 v1 158121
1232.25 v1 158121
1167.75 v1 158121
1016.5 v1 158121
809.75 v1 158121
664.0 v1 158121
74.5 v1 158112
463.0 v1 158112
1068.0 v1 158112
612.25 v1 158114
802.25 v1 158114
1237.5 v1 158114
418.25 v1 158132
312.5 v1 158117
728.25 v1 158117
26.0 v1 158119
1379.5 v1 158119
1056.25 v1 158120
52.0 v1 158121
425.5 v1 158121
605.0 v1 158117
187.0 v1 158133
365.0 v1 158133
938.0 v1 158133
1089.5 v1 158145
1138.75 v1 158145
1317.5 v1 158145
28.75 v1 158146
196.25 v1 158146
658.25 v1 158146
922.0 v1 158145
823.75 v1 158146
451.75 v1 158147
652.25 v1 158147
826.75 v1 158147
1105.5 v1 158147
157.0 v1 158149
326.5 v1 158149
278.25 v1 158147
1267.75 v1 158110
729.75 v1 158145
200.25 v1 158145
727.5 v1 158134
960.25 v1 158134
1381.0 v1 158134
559.5 v1 158136
932.75 v1 158136
965.0 v1 158136
299.0 v1 158145
434.5 v1 158140
1246.0 v1 158140
833.75 v1 158141
157.25 v1 158144
395.75 v1 158144
816.5 v1 158144
899.75 v1 158144
726.75 v1 158140
445.75 v1 158149
1053.5 v1 158110
143.25 v1 158110
475.5 v1 158094
22.0 v1 158094
845.0 v1 158092
676.25 v1 158092
18.5 v1 158092
1149.0 v1 158091
1089.75 v1 158091
726.0 v1 158091
222.5 v1 158091
90.75 v1 158091
513.5 v1 158090
279.5 v1 158090
94.25 v1 158090
1261.75 v1 158088
865.75 v1 158088
701.75 v1 158088
522.75 v1 158088
1299.25 v1 158082
177.25 v1 158084
1351.25 v1 158084
83.5 v1 158085
660.0 v1 158085
1231.5 v1 158085
1122.25 v1 158094
251.75 v1 158086
768.25 v1 158086
1000.25 v1 158086
1108.25 v1 158086
1171.5 v1 158086
1292.5 v1 158086
317.0 v1 158088
382.25 v1 158086
1259.75 v1 158094
204.5 v1 158095
370.25 v1 158095
982.0 v1 158101
1087.5 v1 158101
1309.5 v1 158101
265.5 v1 158104
362.5 v1 158104
526.75 v1 158104
729.0 v1 158101
1103.75 v1 158104
319.75 v1 158107
406.25 v1 158107
1043.5 v1 158107
1249.0 v1 158107
1363.75 v1 158107
714.0 v1 158109
42.75 v1 158107
464.75 v1 158110
436.25 v1 158101
150.0 v1 158101
417.0 v1 158095
545.25 v1 158095
686.5 v1 158095
910.25 v1 158095
1159.75 v1 158095
1197.5 v1 158095
327.25 v1 158101
1348.0 v1 158095
1293.75 v1 158096
255.75 v1 158100
466.5 v1 158100
600.0 v1 158100
28.0 v1 158101
110.0 v1 158101
1384.0 v1 158095
1201.75 v1 158082
939.0 v1 158149
363.0 v1 158150
611.25 v1 158214
533.25 v1 158214
196.0 v1 158214
60.75 v1 158214
1298.5 v1 158213
1197.75 v1 158213
851.5 v1 158213
327.0 v1 158213
155.0 v1 158213
1321.5 v1 158210
1141.0 v1 158210
1045.5 v1 158210
637.5 v1 158210
1278.75 v1 158207
1138.5 v1 158207
776.5 v1 158207
620.25 v1 158207
1022.0 v1 158197
1136.75 v1 158197
1337.5 v1 158197
621.25 v1 158199
491.25 v1 158200
945.25 v1 158200
707.75 v1 158214
1365.0 v1 158200
170.25 v1 158205
283.5 v1 158205
405.5 v1 158205
598.25 v1 158205
1381.75 v1 158205
399.25 v1 158207
1012.75 v1 158204
967.25 v1 158214
1247.0 v1 158214
